"Kod";"Nazwa";"Miejsca pracy";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
0600000;"LUBELSKIE";"zlikwidowane miejsca pracy";"2020";15,7;"tys. msc.";"";
0600000;"LUBELSKIE";"zlikwidowane miejsca pracy";"2021";8,5;"tys. msc.";"";
0600000;"LUBELSKIE";"zlikwidowane miejsca pracy";"2022";12,5;"tys. msc.";"";
0600000;"LUBELSKIE";"zlikwidowane miejsca pracy";"2023";9,4;"tys. msc.";"";
0600000;"LUBELSKIE";"zlikwidowane miejsca pracy";"2024";9,3;"tys. msc.";"";
0800000;"LUBUSKIE";"nowo utworzone miejsca pracy";"2015";12,3;"tys. msc.";"";
0800000;"LUBUSKIE";"nowo utworzone miejsca pracy";"2016";13,1;"tys. msc.";"";
0800000;"LUBUSKIE";"nowo utworzone miejsca pracy";"2017";14,3;"tys. msc.";"";
0800000;"LUBUSKIE";"nowo utworzone miejsca pracy";"2018";11,2;"tys. msc.";"";
0800000;"LUBUSKIE";"nowo utworzone miejsca pracy";"2019";12,3;"tys. msc.";"";
0800000;"LUBUSKIE";"nowo utworzone miejsca pracy";"2020";7,7;"tys. msc.";"";
0800000;"LUBUSKIE";"nowo utworzone miejsca pracy";"2021";12,1;"tys. msc.";"";
0800000;"LUBUSKIE";"nowo utworzone miejsca pracy";"2022";11,9;"tys. msc.";"";
0800000;"LUBUSKIE";"nowo utworzone miejsca pracy";"2023";9,4;"tys. msc.";"";
0800000;"LUBUSKIE";"nowo utworzone miejsca pracy";"2024";7,8;"tys. msc.";"";
0800000;"LUBUSKIE";"zlikwidowane miejsca pracy";"2015";6,6;"tys. msc.";"";
0800000;"LUBUSKIE";"zlikwidowane miejsca pracy";"2016";5,2;"tys. msc.";"";
0800000;"LUBUSKIE";"zlikwidowane miejsca pracy";"2017";6,7;"tys. msc.";"";
0800000;"LUBUSKIE";"zlikwidowane miejsca pracy";"2018";6,8;"tys. msc.";"";
0800000;"LUBUSKIE";"zlikwidowane miejsca pracy";"2019";5,7;"tys. msc.";"";
0800000;"LUBUSKIE";"zlikwidowane miejsca pracy";"2020";7,8;"tys. msc.";"";
0800000;"LUBUSKIE";"zlikwidowane miejsca pracy";"2021";6,0;"tys. msc.";"";
0800000;"LUBUSKIE";"zlikwidowane miejsca pracy";"2022";5,7;"tys. msc.";"";
0800000;"LUBUSKIE";"zlikwidowane miejsca pracy";"2023";5,4;"tys. msc.";"";
0800000;"LUBUSKIE";"zlikwidowane miejsca pracy";"2024";5,4;"tys. msc.";"";
1000000;"ŁÓDZKIE";"nowo utworzone miejsca pracy";"2015";38,7;"tys. msc.";"";
1000000;"ŁÓDZKIE";"nowo utworzone miejsca pracy";"2016";37,3;"tys. msc.";"";
